Dept,ClassNum,SectionNum,Units,StartTime,EndTime,Days,SeatsTaken,SeatsTotal,Professor,ClassCode,ClassMode,Desc
GEOL,298,01,1-4,TBA,,TBA,0,0,,40146,In Person,Research
ENGL,001B,11,3,1630,1745,TR,21,25,A Rohatgi,46406,In Person,Argument and Analysis
KIN,155,02,0,0730,0920,M,27,20,C Cisar,41328,In Person,Exercise Physiology
EDSE,224,01,3,1900,2145,W,20,35,S Kulkarni,44747,2 Pat - Mtg Pat & TBA (See Class Note),Meths SLL in Sp Ed
BIOL,065,13,0,1530,1700,MW,31,30,R Hardin,41017,In Person,Human Anatomy
FREN,001B,99,4,TBA,,TBA,18,40,F Herrmann,44972,Online Only - TBA Mtg Pat,Elem French
ENVS,150,01,3,1630,1915,M,20,25,W Russell,42120,In Person,Intro Env Thought
PHIL,010,01,3,0730,0845,MW,39,41,A Delunas,40210,In Person,Intro to Phil
EDCO,004FY,12,0,1800,1950,T,16,25,L Gervais,45464,In Person,Career Exploration
ISE,135,02,3,1200,1315,TR,69,90,S Erdogan,49935,In Person,Design of Expmts
COMM,181F,80,4,TBA,,TBA,22,25,T Coopman,47963,Online Only - TBA Mtg Pat,New Media/World
ENGL,002,14,3,1200,1315,MW,25,25,R McNabb,42440,In Person,Critical Thinking and Writing
LING,123,06,3,0900,1015,TR,24,25,T Chatterjee,48212,In Person,Sound Comm
MATH,298,04,3,TBA,,TBA,1,3,B Lee,50755,In Person,Special Study
KIN,054B,01,1,0830,0920,TR,3,10,J Schachner,50618,In Person,Int Tae Kwon Do
ENGL,002,19,3,1330,1445,TR,25,25,R James,43390,In Person,Critical Thinking and Writing
BIOL,055,15,0,1430,1720,F,8,10,F Hijazi,44547,In Person,Biostatistics
ISE,142,01,3,1800,2045,W,78,90,P Tam,47138,In Person,Svc Sys Engrg & Mgmt
MUSC,057,01,1,1530,1720,TR,8,20,A Lington,41523,In Person,JazzOrch
BUS2,138,80,3,TBA,,TBA,41,45,J Bechkoff,48532,Online Only - TBA Mtg Pat,Mktg Research
KIN,061A,06,1,1730,1820,TR,58,50,A Batt,49869,In Person,Begin Hatha Yoga
ENGL,299,02,3,TBA,,TBA,1,10,R McNabb,50212,In Person,University Thesis
GLST,164,01,3,1500,1615,TR,26,35,B White,47811,In Person,Global Citizenship
TA,005,01,3,0900,1015,MW,26,26,L Long,41282,In Person,Acting
COMM,199C,02,4,1800,1915,M,27,25,M Holopainen,47944,2 Pat - Mtg Pat & TBA (See Class Note),Senior Seminar
BIOL,186,22,4,TBA,,TBA,0,15,,48071,In Person,Senior Thesis
HIST,132,01,4,1330,1445,MW,23,25,J Roth,43594,In Person,Military History to 1815
PKG,156,01,3,1030,1210,T,22,20,X Liu,48815,In Person,Pkg Mchnry Systems
CS,046A,12,0,1100,1345,F,29,30,K O'Brien,47575,In Person,Intro to Progrmng
KIN,014C,01,1,1430,1520,MW,34,40,O Crespo,42522,In Person,Adv Volleyball
SCWK,251,01,3,1800,2045,M,13,30,S Diwan,48388,In Person,Soc Wk W Aging Pop
BUS2,194B,01,3,1630,1745,MW,35,40,H Eisips,45527,In Person,Business Analytics
EE,102,02,3,0900,1015,MW,27,45,E Bellegarda,47563,In Person,Prob/Stat in EE
MCOM,100W,03,3,1630,1745,TR,18,20,R Nichols,46468,In Person,Wrtg Wkhp in Comm
SCWK,298A,05,3,1500,1745,T,13,15,S Lee,46647,In Person,Special Study A
SCI,002,13,0,1600,1750,T,21,20,S Lilienthal,49125,In Person,Success in Science
CMPE,285,01,3,1800,2045,M,48,60,R Sinn,42150,In Person,Sw Engr Processes
PHYS,002A,13,0,1400,1620,MW,24,20,M Lagana,40223,In Person,Fund of Physics
BUS4,111,01,3,1030,1145,MW,113,119,N Aggarwal,44863,In Person,Networking & Data Communics
ENGR,100W,05,3,0930,1020,MW,23,22,B Hsia,41221,In Person,Engr Reports
BUS4,092,01,3,0900,1015,MW,46,45,M Roldan,40411,In Person,Intro Bus Prog
ENGL,180,02,2,TBA,,TBA,0,13,R McNabb,42570,In Person,Indv Studies
BUS2,130,12,3,1500,1615,TR,51,45,R Murray,48527,In Person,Intro to Marketing
ISE,245,02,3,1500,1745,M,46,80,H Liu,49914,In Person,Adv Sply Chain Engr
JPN,001B,02,4,0830,1010,TR,20,30,S Inaba,43915,In Person,Elem Japanese
GLST,001A,01,3,1030,1145,TR,30,35,S Ou,49116,In Person,Intro to Global Studies
NUFS,280A,06,6,TBA,,TBA,0,10,K Mauldin,40553,In Person,Dietetic Internship
POLS,100M,01,4,1030,1145,TR,31,30,M Currin-Percival,45050,In Person,Political Inquiry
JS,179,02,3,1500,1615,MW,12,20,H Kazem,49022,In Person,HR Pract and Sem
METR,168A,01,6,1030,1315,TR,0,40,A Mathews,49398,In Person,Global Climate Change I
HUM,128,80,3,TBA,,TBA,40,40,L Stenmark,43600,Online Only - TBA Mtg Pat,Twentieth Century
ME,120,04,0,1800,2045,M,16,15,A Mysore,40461,In Person,Experimental Meths
KIN,176,02,3,1330,1445,MW,41,40,D Murphy,49870,In Person,Exercise Psych
GEOG,120,80,3,TBA,,TBA,18,30,G Pereira,43827,Online Only - TBA Mtg Pat,Food Suppl Agr Sys
HS,161,04,0,1700,1750,T,46,48,D Cao,43254,In Person,Epidemiology
BUS2,190,81,3,TBA,,TBA,49,45,B Boveda,45489,Online Only - TBA Mtg Pat,Quant Bus Analysis
BIOL,178,01,3,0900,1015,MW,13,24,J Johnston,42453,In Person,Integr Phys
KIN,162,01,3,1230,1320,TR,36,40,C Cisar,40359,In Person,Adv Fit Asse Ex RX
CE,190,01,2,1800,1950,T,44,45,A Wong,41203,In Person,Numer Solu CE Prob
EE,098,04,3,1030,1145,TR,46,50,B Mantha,43513,In Person,Intro Ckt Analysis
MUSC,117,02,3,1200,1315,MW,70,65,A Romero,44896,In Person,Mus Cul Latin Am
MATH,134,02,3,1500,1615,MW,44,28,S Simic,43863,In Person,Diff Eqn Dynam Sys
JS,100W,03,3,1200,1315,MW,25,24,K Lynch,43355,In Person,Writing Workshop
SE,154,04,3,1330,1445,MW,0,30,C Tsao,50697,In Person,Formal Lang & Comput
ENGL,001A,51,3,1330,1445,MW,23,23,M Mohsenzadegan,43465,In Person,First Year Writing
EE,277A,03,3,1230,1515,F,17,35,A Rahimi,50757,In Person,Embedded SoC Des.
GEOL,007,02,4,1200,1315,TR,63,63,J Petsche,41260,In Person,Earth Time and Life
UNVS,075,04,0,1800,1950,T,6,12,S Lilienthal,49653,In Person,LdrshpCareerAcc
CS,143M,01,3,0900,1015,TR,2,25,M Saleem,49594,In Person,Num Analy Sci Comp
MUSC,060M,01,1,1900,2100,T,3,15,M Hernandez,41545,In Person,SaxophoneEns
ME,120,01,2,0900,0950,W,129,120,A Mysore,42631,In Person,Experimental Meths
ADV,091,01,3,1500,1615,MW,119,150,D Ocampo,40002,In Person,Intro Advertising
MDES,145,01,3,0900,1015,TR,1,30,A Zarate,49415,In Person,Mideast Tradition
BUS2,130,81,3,TBA,,TBA,39,45,M Easter,40939,Online Only - TBA Mtg Pat,Intro to Marketing
SCWK,240,02,3,0930,1215,F,26,30,K Lemon,43032,In Person,Res Method & Des
EDCO,004FY,20,0,1800,1950,R,14,25,I Sanchez,45481,In Person,Career Exploration
NUFS,298,09,3,TBA,,TBA,0,10,J Gieng,40565,In Person,Special Studies
CHEM,180,02,1,TBA,,TBA,5,10,L Cheruzel,45277,In Person,Indiv Studies
EE,223,01,3,1930,2045,MW,30,35,S Lee,46509,In Person,Analog Int Ckts
ENVS,161,01,4,1300,1445,F,18,20,G Klee,45394,In Person,California Wildlands
NUFS,192,10,5,TBA,,TBA,0,10,F Yambrach,45095,In Person,Fld Exp NufS/Pkg
ENGL,001A,53,3,1330,1445,MW,23,23,B Vevoda,43466,In Person,First Year Writing
RECL,170A,80,1,TBA,,TBA,15,15,S Ross,45324,Online Only - TBA Mtg Pat,Pre-Intern Workshp
MATH,018AW,03,1,1200,1315,TR,26,24,A Frank-Baldwin,48406,In Person,Coll Algebra Wkshp
INFO,281,02,2,TBA,,TBA,13,35,D Buenting,47461,Online Only - TBA Mtg Pat,Colloq Contemp Iss
INFO,285,03,3,TBA,,TBA,20,35,T Dickey,42919,Online Only - TBA Mtg Pat,App. Res. Methods
BIOL,280,15,2,TBA,,TBA,0,15,,48181,In Person,Individual Studies
ME,250,01,3,1800,1915,MW,31,50,M Pharand,47774,In Person,Precision Mach Des
PHYS,002B,22,0,1500,1750,R,16,18,J Mijares,48171,In Person,Fund of Physics
BIOL,180,10,1,TBA,,TBA,5,15,B Carter,41453,In Person,Indiv Studies
ENVS,173,01,4,1000,1245,F,20,20,W Russell,46381,In Person,Forest Ecol
HUM,180,01,1,TBA,,TBA,0,1,C Rostankowski,42409,In Person,Indiv Studies
LING,124,01,3,1030,1145,TR,16,25,H Koo,42868,In Person,Intro Speech Tech
MATH,299,02,3,TBA,,TBA,0,3,,50751,In Person,Masters Thesis
PHYS,050W,02,1,1030,1220,M,19,20,E Sigari,41148,In Person,Physics Workshop
ME,147,01,3,1200,1315,MW,40,35,F Amirkulova,40166,In Person,Dyn Sys Vibs Cntrl
NUFS,298,18,3,TBA,,TBA,0,10,X Liu,41185,In Person,Special Studies
PHIL,186,87,3,TBA,,TBA,31,45,T Gullion,48014,Online Only - TBA Mtg Pat,Prof & Bus Ethics
NUFS,135,05,3,1200,1445,T,4,30,A Shaw,49671,In Person,Hlth Multiculture
ENVS,185,01,4,1630,1915,T,17,22,S George,47830,In Person,Envir Impact Anal
ENGR,100W,31,3,1100,1150,TR,25,22,J Leih,42993,In Person,Engr Reports
JS,184,01,1,TBA,,TBA,0,5,A De Giorgi,46798,In Person,Directed Reading
INFO,281,04,1,TBA,,TBA,15,35,C Confetti,44526,Online Only - TBA Mtg Pat,Colloq Contemp Iss
CHEM,180,15,1,TBA,,TBA,13,12,G Muller,45290,In Person,Indiv Studies
MUSC,259,01,1,1330,1520,MW,2,3,J Lewis,44020,In Person,GrdLatinJazzEns
CHAD,070,04,3,1500,1615,MW,33,30,J Maleksalehi,45557,In Person,Lifespan Devel
TA,172,01,3,1330,1445,MW,1,32,L Linden,49345,In Person,Arts in US Society
UNVS,101,09,0,1800,1950,W,15,16,M McNeil,50099,In Person,Leadership
BME,025,01,3,1800,1950,M,87,86,C Rappleye,47324,In Person,Intro BioMed
ENGR,121,01,3,1330,1445,TR,18,30,F Marbouti,45928,In Person,Algo. for Soc Sci
HS,169,06,3,1330,1445,TR,3,30,N Williams,49328,In Person,Divrsty/Stress/Hlth
CMPE,131,04,3,1800,2045,R,32,50,F Butt,47706,In Person,Software Engr I
LLD,100A,02,3,0900,1015,MW,21,22,S Alkire,44452,In Person,Writing Competency
MUSC,173,01,3,1500,1745,T,1,32,V Rue,49352,In Person,Cont World Arts
ENGL,001A,38,3,1200,1315,TR,23,23,L Lindelof,43150,In Person,First Year Writing
ME,106,03,0,1800,2045,W,15,20,,47623,In Person,Fund Mechatro Engr
CHAD,164,02,3,1200,1315,MW,31,30,A Shah,43539,In Person,Contem Parenting
HS,104,02,3,1200,1315,MW,76,75,V Gomez,45396,In Person,Com Hlth Promo
KIN,035A,08,1,1430,1520,TR,32,32,L Pate,43206,In Person,Begin Wt Training
LLD,100WB,03,3,1200,1315,MW,25,25,K Haven,48248,In Person,Wrtg Wrkshp Bsns Stdnts
MS,105,02,0,TBA,,TBA,2,15,D Steller,41616,In Person,Mar Sci Diving
BUS2,138,03,3,1500,1745,W,46,45,R Sibley,43715,In Person,Mktg Research
ENGL,001A,57,3,1500,1615,MW,23,23,M Mohsenzadegan,44158,In Person,First Year Writing
SCWK,141,06,4,TBA,,TBA,12,15,R Bhader,47091,In Person,Field Practicum I
ENGR,010,03,0,0900,1145,R,23,22,,42974,In Person,Intro to Engr
MATH,071W,07,1,0900,1015,TR,27,28,S Crunk,47903,In Person,Calc Wkshp Bus/Avi
INFO,260A,01,3,TBA,,TBA,21,35,P Peck,43396,Online Only - TBA Mtg Pat,Prgrm and Srvcs for Chld
SOCI,171,01,3,1200,1315,MW,35,35,V Montes,47884,In Person,Person and Society
CMPE,110,02,0,1330,1620,T,19,25,A Bindal,44387,In Person,Electronics Comp
ENVS,195,01,3,TBA,,TBA,1,5,W Russell,42663,In Person,Inst Asst Env Stud
ANTH,160,01,3,0900,1015,MW,42,40,M Meniketti,41149,In Person,Recon Lost Civs
SCI,001,16,1.5,1800,1915,MW,0,30,K Singmaster,44130,In Person,Acadmc Excel Wkshp
BUS3,186,04,3,1330,1445,MW,28,60,L Bernasconi,49357,In Person,Prof & Bus Ethics
LING,020,99,3,TBA,,TBA,25,25,D Hunter,43528,Online Only - TBA Mtg Pat,Nature of Language
EDTE,217A,04,0,TBA,,TBA,8,10,C Hartunian,50131,In Person,Rdg Practicum I
