Dept,ClassNum,SectionNum,Units,StartTime,EndTime,Days,SeatsTaken,SeatsTotal,Professor,ClassCode,ClassMode,Desc,Rating
DSID,132,1,3.0,1200,1450.0,TR,23,30,A Armstrong,28838,In Person,Softgoods,1.8
CHEM,298,3,1.0,TBA,,TBA,2,5,N Wang,23319,In Person,Research,5.0
PHYS,051,27,0.0,0930,1220.0,F,18,16,A Cabot,23082,In Person,General Physics,2.49
ATH,046I,1,1.0,TBA,,TBA,27,30,B Harberts,20068,In Person,Water Polo Women,2.49
GEOG,112,82,3.0,TBA,,TBA,30,30,K Rohrmeier,24469,Online Only - TBA Mtg Pat,Nat Cult Terr Disp,4.1
UNVS,101,4,0.0,1800,1950.0,T,29,30,M McNeil,29575,In Person,Leadership,3.0
CMPE,256,3,3.0,1800,2045.0,T,51,40,W Wu,29876,In Person,Lrg Scale Analytic,3.2
NUFS,299,18,3.0,TBA,,TBA,0,10,K Mauldin,28520,In Person,Mas Thesis or Proj,4.5
COMM,100W,4,3.0,0900,1015.0,M,25,25,R Pashtunyar,22099,2 Pat - Mtg Pat & TBA (See Class Note),Writing Workshop,4.7
METR,040,1,1.0,1430,1520.0,R,10,18,E Cordero,21324,In Person,Weather Seminar,4.0
ENGL,116,1,4.0,0900,1015.0,TR,27,30,N Stork,24474,In Person,Myth in Literature,3.3
KIN,002A,8,1.0,1600,1650.0,MW,18,25,K Thompson,28398,In Person,Begin Swimming,5.0
POLS,015,82,3.0,TBA,,TBA,46,45,J Abrams,24985,Online Only - TBA Mtg Pat,US & CA Government,2.49
UNVS,057,1,3.0,1030,1145.0,TR,4,40,D Brook,29373,In Person,Community Involve,2.49
RECL,197,3,3.0,1500,1615.0,W,14,20,S Ross,28372,In Person,RT in psychiatry,2.8
BIOL,030,3,4.0,0730,845.0,MW,64,90,K Youngman,24825,In Person,Biology I,2.4
KIN,165,2,3.0,1200,1315.0,MW,42,40,S Chang,25740,In Person,Motor Development,4.6
GEOL,168B,3,3.0,1030,1145.0,TR,0,40,P Brown,29273,In Person,Global Climate Change II,
HS,180,11,1.0,TBA,,TBA,0,5,A Buckner,30507,In Person,Indiv Studies,2.49
HS,135,2,3.0,0900,1145.0,M,22,30,A Shaw,28243,In Person,Hlth Multiculture,3.4
MS,285,1,2.0,TBA,,TBA,5,20,,21694,In Person,Grad Sem Mar Sci,2.49
EE,297A,1,3.0,0900,1800.0,S,12,15,B Sirkeci,24775,In Person,MSEE Proj Proposal,4.6
SCWK,233,1,5.0,TBA,,TBA,9,30,A Fimbres Windley,25332,In Person,Soc Wk Pract IV,2.49
CCS,010B,4,3.0,0900,1015.0,MW,35,37,J Gamboa,27971,In Person,Mex Am US Hist/Gov,4.8
MS,298,71,1.0,TBA,,TBA,0,25,,21682,In Person,Resrch Mar Sci,2.49
