Dept,ClassNum,SectionNum,Units,StartTime,EndTime,Days,SeatsTaken,SeatsTotal,Professor,ClassCode,ClassMode,Desc
ENGL,001AF,09,3,1030,1145,TR,22,22,A Smith,44852,In Person,FYW: Stretch English I
HS,167,05,0,1415,1500,T,26,25,J Pham,42085,In Person,Biostatistics
OCTH,233,02,3,0900,1145,T,24,28,L Arabit,41907,In Person,Prof Develop II
NUFS,298,14,2,TBA,,TBA,1,10,C LaSalle,40570,In Person,Special Studies
SOCI,015,03,3,1200,1315,MW,27,30,E Sweet,48348,In Person,Stat Ap in Soc Sci
RTVF,132A,02,0,1700,1845,M,17,18,H Mathias,48271,In Person,Intr Cinematograph
NUFS,219A,01,3,1500,1745,W,10,18,K Mauldin,48767,In Person,Adv Nutr and Metab
LING,123,04,3,1500,1615,MW,25,25,C Donlay,42639,In Person,Sound Comm
NUFS,180,06,6,TBA,,TBA,0,10,J Kubota,41580,In Person,Individual Studies
ME,250,01,3,1800,1915,MW,31,50,M Pharand,47774,In Person,Precision Mach Des
KIN,197C,01,1,0730,0820,W,12,12,H Pai,40714,In Person,Practicum Ath Trn III
AMS,001B,04,6,1500,1615,TR,27,32,A Cushner,45413,In Person,Am Cults 1877-pres
RTVF,020,02,0,1100,1245,T,18,18,J Abrams,49002,In Person,Intro Audio FilmTV
INFO,204,01,3,TBA,,TBA,31,35,C Dee,42302,Online Only - TBA Mtg Pat,Inf. Prof
PHIL,186,10,3,1330,1445,TR,31,60,J Giddings,48002,In Person,Prof & Bus Ethics
INFO,285,01,3,TBA,,TBA,25,35,S Walter,42918,Online Only - TBA Mtg Pat,App. Res. Methods
PHOT,115,02,3,1500,1750,MW,21,24,E Cetto,41778,In Person,Int Digital Imaging
JS,136,81,3,TBA,,TBA,44,44,S Martinek,49024,Online Only - TBA Mtg Pat,Fam&Comm Violence
NURS,146B,06,2,0700,1300,F,8,10,M Agroia,44694,In Person,Mat Hlth Clinical
BIOL,297,43,4,TBA,,TBA,3,15,K Wilkinson,48244,In Person,Grad Research
PHYS,140,01,3,1330,1420,MW,11,12,D Olson,41025,In Person,Comp Meth Physics
ANTH,142,01,3,1030,1145,MW,25,25,J Marlovits,47035,In Person,Culture in Mind
MUSC,001B,02,1,1030,1120,MW,27,25,T Langan,42529,In Person,Music Systems IB
ENGR,010,19,0,1200,1445,R,23,22,A Banafa,41875,In Person,Intro to Engr
CHEM,001B,02,0,1030,1120,F,196,158,K Padmanabhan,40940,In Person,Gen Chem
SPAN,001B,01,4,1500,1640,TR,13,30,M Mendoza Torres,49145,In Person,Elem Spanish
HA,157SL,03,3,1500,1745,W,0,27,A Pulos,50227,In Person,Comm Action & Serv
BIOL,180,21,2,TBA,,TBA,3,15,S Shaffer,48076,In Person,Indiv Studies
PHYS,180,04,1,TBA,,TBA,1,1,R Bahuguna,50787,In Person,Indiv Studies
NUFS,192,10,5,TBA,,TBA,0,10,F Yambrach,45095,In Person,Fld Exp NufS/Pkg
HSPM,180,01,3,TBA,,TBA,0,5,T Yen,46575,In Person,Individual Studies
BIOL,182,05,1,TBA,,TBA,0,15,,40611,In Person,Tutor Asst Biol
SOCI,100W,03,3,1030,1145,TR,19,20,D Brook,47803,In Person,Writing Workshop
ANTH,012,01,3,0900,1015,MW,39,40,S Ou,40007,In Person,Intro to Human Evol
PHYS,051,19,0,1330,1620,W,16,16,V Santhanakrishnan,41867,In Person,General Physics
NURS,147A,03,2,0800,1400,R,10,10,C Mao,44696,In Person,Mental Health Clin
JS,181,14,6,TBA,,TBA,0,5,Y Yuan,43261,In Person,Internship in JS
NUFS,016,03,3,1330,1445,TR,45,45,I Chou,46850,In Person,"Sci, Physio, Nutr"
BIOL,190,03,3,TBA,,TBA,0,15,,40781,In Person,Fld Studies Biol
SE,152,01,3,1030,1145,TR,1,30,J Pearce,49425,In Person,Progrmng Paradigms
PSYC,260,01,3,1200,1445,W,12,15,A Prins,42821,In Person,Crisis Counseling
BIOL,031,02,4,1630,1745,TR,57,120,I Yuwanita,44536,In Person,Biology II
ART,175,02,3,1500,1750,MW,10,24,P Surgalski,47875,In Person,Artists' Books
ISE,112,01,3,1800,2045,T,33,65,C Foster,47223,In Person,Occup Health Engr
RTVF,185,02,3,1500,1745,W,26,30,L Walker,48269,In Person,Spec Topics RTVF
MUSC,009,01,3,0930,1020,MW,18,30,A Young,43305,In Person,Music Fund
NURS,146A,05,2,1500,2100,W,7,10,C Weng,44681,In Person,Peds Clinical
BUS5,144,80,3,TBA,,TBA,44,45,M Zhou,48311,Online Only - TBA Mtg Pat,Supply Chain Mgmt
SCI,001,16,1.5,1800,1915,MW,0,30,K Singmaster,44130,In Person,Acadmc Excel Wkshp
ENGR,160SL,01,1,1800,2045,W,11,15,K Perry,43163,In Person,EPICS UD
GEOG,112,80,3,TBA,,TBA,36,30,K Rohrmeier,43825,Online Only - TBA Mtg Pat,Nat Cult Terr Disp
LLD,280,01,3,1630,1745,TR,12,15,D Malinowski,40156,In Person,Methods TESOL
JOUR,140C,01,3,1630,1745,MW,14,20,D Nichols,47673,In Person,StuMedia: Spear
PSYC,154,02,3,1200,1315,MW,48,48,J Ventura,40321,In Person,Social Psy
AS,131A,01,3,1300,1600,F,14,30,M Neubauer,42375,In Person,AF Ldrship Studies
ANTH,165,01,3,1030,1145,MW,24,25,M Meniketti,42445,In Person,Historical Archaeology
KIN,041A,02,2,1200,1320,TR,15,30,M Basile,49506,In Person,Tpcs in Ballet I
TA,005,02,3,1030,1145,MW,26,26,S Anderson,41283,In Person,Acting
